n,clip,cond,kind,seed,score,prompt,penisRest,penisFirst,penisMotion,hand,buttocks,between,penisBack,join,likeness,notes,file,ratedAt
71,C7-P3-8675309,C7,buttocks,8675309,3,yes,,,,,right,minor,right,,yes,,nsfw-C7-P3-8675309_00001_.mp4,2026-09-22T15:08:48Z
72,C8-P1-1351805226,C8,at rest,1351805226,5,yes,right,,,,,,,,yes,,nsfw-C8-P1-1351805226_00001_.mp4,2026-09-22T15:09:03Z
73,C8-P1-20260919,C8,at rest,20260919,5,yes,right,,,,,,,,yes,,nsfw-C8-P1-20260919_00001_.mp4,2026-09-22T15:09:19Z
74,C8-P2-1351805226,C8,solo,1351805226,4,yes,,right,right,minor,,,,,yes,,nsfw-C8-P2-1351805226_00001_.mp4,2026-09-22T15:09:54Z
75,C8-P2-20260919,C8,solo,20260919,2,yes,,right,wrong,minor,,,,,yes,,nsfw-C8-P2-20260919_00001_.mp4,2026-09-22T15:10:22Z
76,C8-P2-424242,C8,solo,424242,3,yes,,right,minor,right,,,,,yes,,nsfw-C8-P2-424242_00001_.mp4,2026-09-22T15:10:46Z
77,C8-P2-8675309,C8,solo,8675309,3,yes,,right,minor,right,,,,,yes,,nsfw-C8-P2-8675309_00001_.mp4,2026-09-22T15:11:12Z
78,C8-P3-31337,C8,buttocks,31337,2,yes,,,,,right,wrong,right,,yes,,nsfw-C8-P3-31337_00001_.mp4,2026-09-22T15:11:37Z
79,C8-P3-424242,C8,buttocks,424242,1,yes,,,,,right,wrong,wrong,,yes,,nsfw-C8-P3-424242_00001_.mp4,2026-09-22T15:11:57Z
80,C8-P3-8675309,C8,buttocks,8675309,2,yes,,,,,right,wrong,minor,,yes,,nsfw-C8-P3-8675309_00001_.mp4,2026-09-22T15:12:18Z
81,CH1-1351805226,CH1,film 10 s,1351805226,1,yes,,wrong,wrong,wrong,,,,,yes,,nsfw-CH1-1351805226_00001_.mp4,2026-09-22T15:12:34Z
82,CH2-1351805226,CH2,film 20 s,1351805226,2,yes,,,wrong,wrong,,,,visible,yes,,nsfw-CH2-1351805226_00001_.mp4,2026-09-22T15:13:27Z
83,CH3-1351805226,CH3,film 30 s,1351805226,1,yes,,,wrong,wrong,,,,visible,yes,,nsfw-CH3-1351805226_00001_.mp4,2026-09-22T15:13:51Z

overall,,,,,,,,,,,,,,,,its kinds of hard you pick one because there was just so many.. anyway to narrow them down to the top ones and I can then give you a gut feeling,priority=both,2026-09-22T15:14:43Z
